"ccg_code","registered","estimated","prevalence"
"09W",773,218566.911,3.53667440539524
"09X",707,175962.6,4.01789925813781
"09Y",862,276697.88,3.11531118344673
"10A",1103,159264.12,6.92560257765528
"10C",144,71564.02,2.01218433508906
"10D",338,81653.08,4.13946418187777
"10E",673,109403.38,6.1515466889597
"10G",292,104324.1,2.79896974908003
"10H",757,255020.8,2.96838532386378
"10J",639,166501.7,3.83779865310684
"10K",491,158575.8,3.09631103863263
"10L",638,115853.9,5.5069358908073
"10M",358,88493.71,4.04548526669297
"10N",294,83222.5,3.53269848899036
"10Q",1966,540361.73,3.63830354899486
"10R",712,169701.3,4.19560722280855
"10T",361,101779.5,3.54688321322074
"10V",738,166812.53,4.42412809157681
"10W",378,96646.8,3.91114863606452
"10X",872,208701.1,4.17822426427077
"10Y",509,153910.3,3.30712109585908
"11A",1512,431437.87,3.50456022787244
"11C",322,117897.71,2.73118112302605
"11D",505,120405,4.19417798264192
"11E",658,156891.136,4.19399092119519
"11H",1806,371300,4.8639913816321
"11J",2686,623596.48,4.30727254906891
"11M",2828,489205.93,5.78079664733418
"11N",2335,449004,5.2003991055759
"11T",816,168407.9,4.84537839376894
"11X",2236,432129.992,5.17436891998924
"12A",854,201873.9,4.23036360817322
"12D",687,170320.6,4.03356963279838
"99A",1755,389479.06,4.50601888584203
"99B",1500,264629.49,5.66830250097977
"99C",1029,173007.4,5.94772246736267
"99D",473,125146.73,3.77956339730171
"99E",796,206020.6,3.86369130077284
"99F",482,142440.2,3.38387618102193
"99G",634,146566.7,4.32567561390138
"99H",732,229492.35,3.18964880528697
"99J",1269,363589.89,3.49019605578142
"99K",621,131069.38,4.73794871082781
"99M",506,168208.88,3.00816461057228
"99N",1562,371629.95,4.20310580457791
"99P",3790,721313.57,5.25430292403899
"99Q",1364,230495.02,5.91769835200778
"Unknown",141,29494.05,4.78062524475276
